1442115552705	2-3	38.0
1442115552705	3-4	54.0
1442115552705	4-5	51.0
1442115552705	5-1	142.0
1442115553705	1-2	16.0
1442115553705	2-3	39.0
1442115553705	3-4	54.0
1442115553705	4-5	51.0
1442115553705	5-1	143.0
1442115554705	1-2	16.0
1442115554705	2-3	39.0
1442115554705	3-4	54.0
1442115554705	4-5	51.0
1442115554705	5-1	145.0
1442115555705	1-2	16.0
1442115555705	2-3	40.0
1442115555705	3-4	54.0
1442115555705	4-5	51.0
1442115555705	5-1	146.0
1442115556705	1-2	16.0
1442115556705	2-3	40.0
1442115556705	3-4	54.0
1442115556705	4-5	51.0
1442115556705	5-1	147.0
1442115557705	1-2	16.0
1442115557705	2-3	41.0
1442115557705	3-4	54.0
1442115557705	4-5	51.0
1442115557705	5-1	149.0
1442115558705	1-2	16.0
1442115558705	2-3	41.0
1442115558705	3-4	55.0
1442115558705	4-5	51.0
1442115558705	5-1	150.0
1442115559705	1-2	16.0
1442115559705	2-3	41.0
1442115559705	3-4	55.0
1442115559705	4-5	51.0
1442115559705	5-1	151.0
1442115560705	1-2	17.0
1442115560705	2-3	41.0
1442115560705	3-4	55.0
1442115560705	4-5	51.0
1442115560705	5-1	152.0
1442115561705	1-2	17.0
1442115561705	2-3	41.0
1442115561705	3-4	55.0
1442115561705	4-5	51.0
1442115561705	5-1	153.0
1442115562705	1-2	17.0
1442115562705	2-3	42.0
1442115562705	3-4	55.0
1442115562705	4-5	51.0
1442115562705	5-1	155.0
1442115563705	1-2	17.0
1442115563705	2-3	42.0
1442115563705	3-4	55.0
1442115563705	4-5	51.0
1442115563705	5-1	156.0
1442115564705	1-2	18.0
1442115564705	2-3	42.0
1442115564705	3-4	55.0
1442115564705	4-5	51.0
1442115564705	5-1	158.0
1442115565705	1-2	18.0
1442115565705	2-3	43.0
1442115565705	3-4	55.0
1442115565705	4-5	51.0
1442115565705	5-1	159.0
1442115566705	1-2	18.0
1442115566705	2-3	43.0
1442115566705	3-4	55.0
1442115566705	4-5	51.0
1442115566705	5-1	160.0
1442115567705	1-2	19.0
1442115567705	2-3	43.0
1442115567705	3-4	55.0
1442115567705	4-5	51.0
1442115567705	5-1	161.0
1442115568705	1-2	20.0
1442115568705	2-3	44.0
1442115568705	3-4	55.0
1442115568705	4-5	51.0
1442115568705	5-1	162.0
1442115569705	1-2	20.0
1442115569705	2-3	44.0
1442115569705	3-4	56.0
1442115569705	4-5	51.0
1442115569705	5-1	163.0
1442115570705	1-2	20.0
1442115570705	2-3	45.0
1442115570705	3-4	56.0
1442115570705	4-5	51.0
1442115570705	5-1	165.0
1442115571705	1-2	21.0
1442115571705	2-3	45.0
1442115571705	3-4	55.0
1442115571705	4-5	51.0
1442115571705	5-1	166.0
1442115572705	1-2	21.0
1442115572705	2-3	45.0
1442115572705	3-4	55.0
1442115572705	4-5	51.0
1442115572705	5-1	167.0
1442115573705	1-2	22.0
1442115573705	2-3	46.0
1442115573705	3-4	55.0
1442115573705	4-5	51.0
1442115573705	5-1	168.0
1442115574705	1-2	23.0
1442115574705	2-3	46.0
1442115574705	3-4	55.0
1442115574705	4-5	51.0
1442115574705	5-1	169.0
1442115575705	1-2	23.0
1442115575705	2-3	47.0
1442115575705	3-4	55.0
1442115575705	4-5	51.0
1442115575705	5-1	171.0
1442115576705	1-2	24.0
1442115576705	2-3	47.0
1442115576705	3-4	55.0
1442115576705	4-5	51.0
1442115576705	5-1	172.0
1442115577705	1-2	24.0
1442115577705	2-3	48.0
1442115577705	3-4	56.0
1442115577705	4-5	51.0
1442115577705	5-1	173.0
1442115578705	1-2	25.0
1442115578705	2-3	48.0
1442115578705	3-4	56.0
1442115578705	4-5	50.0
1442115578705	5-1	175.0
1442115579705	1-2	26.0
1442115579705	2-3	48.0
1442115579705	3-4	56.0
1442115579705	4-5	51.0
1442115579705	5-1	176.0
1442115580705	1-2	26.0
1442115580705	2-3	49.0
1442115580705	3-4	56.0
1442115580705	4-5	50.0
1442115580705	5-1	177.0
1442115581705	1-2	27.0
1442115581705	2-3	49.0
1442115581705	3-4	56.0
1442115581705	4-5	50.0
1442115581705	5-1	178.0
1442115582705	1-2	28.0
1442115582705	2-3	50.0
1442115582705	3-4	56.0
1442115582705	4-5	50.0
1442115582705	5-1	179.0
1442115583705	1-2	28.0
1442115583705	2-3	50.0
1442115583705	3-4	55.0
1442115583705	4-5	50.0
1442115583705	5-1	179.0
1442115584705	1-2	28.0
1442115584705	2-3	51.0
1442115584705	3-4	55.0
1442115584705	4-5	50.0
1442115584705	5-1	178.0
1442115585705	1-2	28.0
1442115585705	2-3	51.0
1442115585705	3-4	55.0
1442115585705	4-5	50.0
1442115585705	5-1	178.0
1442115586705	1-2	28.0
1442115586705	2-3	51.0
1442115586705	3-4	55.0
1442115586705	4-5	49.0
1442115586705	5-1	179.0
1442115587705	1-2	28.0
1442115587705	2-3	51.0
1442115587705	3-4	55.0
1442115587705	4-5	49.0
1442115587705	5-1	179.0
1442115588705	1-2	29.0
1442115588705	2-3	52.0
1442115588705	3-4	55.0
1442115588705	4-5	48.0
1442115588705	5-1	179.0
1442115589705	1-2	29.0
1442115589705	2-3	51.0
1442115589705	3-4	55.0
1442115589705	4-5	48.0
1442115589705	5-1	179.0
1442115590705	1-2	29.0
1442115590705	2-3	52.0
1442115590705	3-4	55.0
1442115590705	4-5	47.0
1442115590705	5-1	178.0
1442115591705	1-2	29.0
1442115591705	2-3	52.0
1442115591705	3-4	54.0
1442115591705	4-5	47.0
1442115591705	5-1	178.0
1442115592705	1-2	30.0
1442115592705	2-3	52.0
1442115592705	3-4	54.0
1442115592705	4-5	47.0
1442115592705	5-1	178.0
1442115593705	1-2	30.0
1442115593705	2-3	52.0
1442115593705	3-4	54.0
1442115593705	4-5	46.0
1442115593705	5-1	178.0
1442115594705	1-2	31.0
1442115594705	2-3	52.0
1442115594705	3-4	54.0
1442115594705	4-5	46.0
1442115594705	5-1	178.0
1442115595705	1-2	31.0
1442115595705	2-3	53.0
1442115595705	3-4	53.0
1442115595705	4-5	46.0
1442115595705	5-1	178.0
1442115596705	1-2	31.0
1442115596705	2-3	52.0
1442115596705	3-4	54.0
1442115596705	4-5	45.0
1442115596705	5-1	178.0
1442115597705	1-2	31.0
1442115597705	2-3	53.0
1442115597705	3-4	53.0
1442115597705	4-5	45.0
1442115597705	5-1	178.0
1442115598705	1-2	31.0
1442115598705	2-3	53.0
1442115598705	3-4	53.0
1442115598705	4-5	45.0
1442115598705	5-1	178.0
1442115599705	1-2	32.0
1442115599705	2-3	53.0
1442115599705	3-4	53.0
1442115599705	4-5	44.0
1442115599705	5-1	178.0
1442115600705	1-2	32.0
1442115600705	2-3	53.0
1442115600705	3-4	53.0
1442115600705	4-5	44.0
1442115600705	5-1	179.0
1442115601705	1-2	32.0
1442115601705	2-3	53.0
1442115601705	3-4	53.0
1442115601705	4-5	44.0
1442115601705	5-1	179.0
1442115602705	1-2	33.0
1442115602705	2-3	54.0
1442115602705	3-4	53.0
1442115602705	4-5	43.0
1442115602705	5-1	179.0
1442115603705	1-2	33.0
1442115603705	2-3	53.0
1442115603705	3-4	53.0
1442115603705	4-5	43.0
1442115603705	5-1	179.0
1442115604705	1-2	34.0
1442115604705	2-3	53.0
1442115604705	3-4	53.0
1442115604705	4-5	42.0
1442115604705	5-1	179.0
1442115605705	1-2	34.0
1442115605705	2-3	53.0
1442115605705	3-4	53.0
1442115605705	4-5	42.0
1442115605705	5-1	178.0
1442115606705	1-2	34.0
1442115606705	2-3	53.0
1442115606705	3-4	53.0
1442115606705	4-5	42.0
1442115606705	5-1	179.0
1442115607705	1-2	35.0
1442115607705	2-3	53.0
1442115607705	3-4	53.0
1442115607705	4-5	41.0
1442115607705	5-1	179.0
1442115608705	1-2	35.0
1442115608705	2-3	54.0
1442115608705	3-4	53.0
1442115608705	4-5	41.0
1442115608705	5-1	178.0
